,Name of Dam,Year Completed,River,Location,Type,Height (m),Length (m),Volume content (103m3),Gross Storage Capacity (103m3),Reservoir Area (103m2),Effective Storage Capacity (103m3),Purpose,Designed Spillway Cap m3per sec
37,Upper Dudhana,1964,Dudhana,Jalna,Earthfill,18,2750,965,15000.00,445,13010.00,Irrigation,1912
38,Koyna,1964,Koyna,Patan,Gravity,103,805,1555,2797400.00,11535,2640000.00,Hydroelectricity,3883
39,Gangapur,1965,Godavari,Nashik,Earthfill,36.59,3902,4612,215880.00,22860,203880.00,Irrigation,2293
40,Chandani,1965,Chandani,"Osmanabad, Paranda",Earthfill,17.18,1920,289,20700.00,813,15220.00,Irrigation,3030
41,Bor,1965,Bor,Bori,Earthfill,36.28,1158,2474,138750.00,13506,127420.00,Irrigation,3058
42,Ghod,1965,Ghod,Shirur,Earthfill,29.6,3300,1020,216300.00,30992,154800.00,Irrigation,7419
43,Tisangi,1966,local,"Solapur, Pandharpur",Earthfill,20.82,2866,,24460.00,,22760.00,Irrigation,410
44,Wunna,1966,Wunna,Nagpur,Earthfill,18.18,2525,390,23560.00,569,21640.00,Irrigation,1326.64
45,Galhati,1966,Galhati,Ambad,Earthfill,13.1,2987,,13840.00,,,Irrigation,2152
46,Mangi,1966,Kanola,"Solapur, Karmala",Earthfill,22.95,1475,,32720.00,,32720.00,Irrigation,2232
47,Mehakari,1966,Mehakari,Ashti,Earthfill,27.63,1308,163.5,16130.00,38,13000.00,Irrigation,2233
48,Wan,1966,Wan,"Beed, Ambejogai",Earthfill,19,2798,1358,25180.00,,2190.00,Irrigation,2340
49,Bhudihal,1966,Belwan,"Solapur, Sangola",Earthfill,18.5,2975,,32050.00,,27950.00,Irrigation,2350
50,Nawegaonbandh,1967,local,Navegaon,Earthfill,11.58,625,,45943.00,10344,29590.00,Irrigation,124.2
51,Pandherbodi,1967,local,Umrer,Earthfill,15.24,1769,284,13860.00,425,13120.00,Irrigation,432
52,Kurje (Dhapcheri),1967,local,Dahanu,Earthfill,22.96,2507.76,846.12,39050.00,5620,38085.00,Irrigation  Water Supply,598
53,Nalganga,1967,Nalganga,Malkapur,Earthfill,29.8,2516,1500,71860.00,10980,70540.00,Irrigation,2158
54,Sukhana,1968,Sukhana,Aurangabad,Earthfill,16.92,3536,68,21340.00,6782,18480.00,Irrigation,2101
55,Kurnur,1968,Bori,"Osmanabad, Tuljapur",Earthfill,23.7,1206,45,35240.00,570,32670.00,Irrigation,2190
56,Manar,1968,Manar,Kandhar,Earthfill,27,2592,1557,139000.00,2559,128700.00,Irrigation,8778
57,Yeldari,1968,Purna,Yeldari,Earthfill,51.2,4232,,934310.00,101540,809660.00,Irrigation  Hydroelectricity,10477
58,Anjani,1970,Anjani,Jalgaon,Earthfill,15.06,4216,213,61170.00,,61170.00,Irrigation  Water Supply,888
59,Siddheshwar,1968,Purna,Siddeshwar,Earthfill,38.26,6353.2,907.2,250850.00,40580,80940.00,Irrigation,10789
60,Kundrala,1969,local,Mukhed,Earthfill,18.5,999,370,14680.00,253,12990.00,Irrigation,811
61,Gharni,1969,Gharni,Sirur,Earthfill,15.24,956,,25080.00,,22460.00,Irrigation,1882
62,Dolwahal (Weir),1969,Kundlika,Roha,Earthfill,12.5,543,1943,10070.00,3230,1840.00,Irrigation  Water Supply,3030
63,Girna,1969,Girna,Nandgaon,Earthfill,54.56,963.17,2042,608980.00,60040,525920.00,Irrigation  Hydroelectricity,8433
64,Malangaon,1970,Kan,Sakri,Earthfill,23.78,1141,500,13023.00,248,11325.00,Irrigation,1075
65,Karwand,1970,Arunanadi,Sirpur,Earthfill,39.3,2966,1191,33840.00,,31500.00,Irrigation,2461
66,Itiadoh,1970,Garvi,Arjuni,EarthfillGravity,29.85,505,911,288830.00,46910,225120.00,Irrigation  Hydroelectricity,3230
67,Sirpur,1970,Bagh,Deori,EarthfillGravity,24.69,2840,1195,203840.00,32970,192520.00,Irrigation,3633
68,Pujaritola,1970,Bagh,Amgaon,EarthfillGravity,19.2,2661,664,65110.00,17650,48690.00,Irrigation,4246.88
69,Terna,1970,Terna,Osmanabad,Earthfill,15,2651,186,22910.00,380,18630.00,Irrigation,
70,Morna,1971,local,Patur,Earthfill,28.65,600,1109,44740.00,4930,41460.00,Irrigation,1631
71,Gyanganga,1971,Gyanganga,Khamgaon,Earthfill,35.73,639,1380,36270.00,4151,33930.00,Irrigation,1742
72,Upper Pus (Pus),1971,Pus,"Yavatmal, Pusad",Earthfill,42,744,1980,113920.00,8953,91260.00,Irrigation,4007
73,Malkhed,1972,Kholad,Chandur Rly,Earthfill,17.05,1422,481,10900.00,6717,8960.00,Irrigation  Water Supply,1108
74,Tanajisagar (Panshet),1972,Ambi,Velhe,EarthfillGravity,63.56,1039,4190,303000.00,15645,294000.00,Irrigation  Water supply,1162.4
75,Pawana,1972,Pawana,"Pune, Pawananagar",EarthfillGravity,42.37,1329,1989,30500.00,2365,241000.00,Hydroelectricity  Water supply,1250
76,Kalyangirija,1972,Kalyangirija,Jalna,Earthfill,22.07,1183,520,10160.00,568,8469.00,Irrigation,1310
77,Bhojapur,1972,Mahalungi,"Nashik, Sinnar",Earthfill,32.41,733,449,13730.00,3352,10700.00,Irrigation,1488
78,Saikheda,1972,Khuni,Pandharkawada,Earthfill,23.77,1740,909,38511.00,836,27184.00,Irrigation,2671
79,Mula,1972,Mula,"Ahmadnagar, Rahuri",EarthfillGravity,48.17,2856,7594,736320.00,53600,608890.00,Irrigation,5947
80,Upper Vaitarana,1973,Vaitarna,"Nashik, Igatpuri",EarthfillGravity,41,2531,1520,331630.00,37130,331000.00,Irrigation,1440
81,Panzara,1973,Panzara,Sakri,Earthfill,33.5,1430,1597,43500.00,5590,35800.00,Irrigation,1768
82,Yeralwadi,1973,Yerala,"Satara, Khatav",Earthfill,19.5,2115,663,33020.00,,18060.00,Irrigation,2083
83,Manyad,1973,Manyad,Chalisgaon,Earthfill,45,1677,896.5,53980.00,8710,40257.00,Irrigation,3755
84,Chulbandh,1974,Chulbandh,Gondia,Earthfill,22.08,465,130,21458.00,3750,16540.00,Irrigation,846.11
85,Dhamna,1974,local,Bhokardan,Earthfill,13,2560,443,10730.00,433,8490.00,Irrigation,1414
86,Dina,1974,Dina,Charmoshi,Earthfill,21.49,3137,957,61150.00,13765,55940.00,Irrigation,1671
87,Kanoli,1974,Bori,Dhule,Earthfill,24.5,459,290,11900.00,217,8450.00,Irrigation,1840
88,Nazare,1974,Karha,"Pune, Purandar",Earthfill,22.54,2021,1010,22316.00,3890,16650.00,Irrigation  Water Supply,2425
89,Karanjwan,1974,Kadwa,Dindori,Earthfill,39.31,2483,1960,175580.00,18420,166220.00,Irrigation,2724
90,Katepurna,1974,Katepurna,Mahan Barshi Takali,Earthfill,29.5,2000,693,97670.00,12430,86350.00,Irrigation  Water Supply,2783
91,Kolkewadi,1975,Local Nallah,Chiplun,Gravity,64,497,576,36220.00,167,11220.00,Hydroelectricity,1081
92,Nirguna,1975,Nirguna,Patur,Earthfill,25.7,1800,124,32290.00,4760,28840.00,Irrigation,1678
93,Karpara,1975,Karpara,Jintur,Earthfill,16.66,1046,344,27320.00,778,24700.00,Irrigation,2033
94,Palkhed,1975,Kadva,"Nashik, Dindori",Earthfill,34.75,4110,1228,230100.00,5760,212400.00,Irrigation,4592
95,Kanholibara,1976,Krishna,Hingana,Earthfill,21.05,1365,115.3,22213.00,333,19820.00,Irrigation,1141
96,Vir Baji Pasalkar(Varasgaon),1976,Mosi,"Pune, Velhe",EarthfillGravity,63.4,785,10550,374000.00,24200,275000.00,Irrigation  Hydroelectricity,1416
97,Alwandi,1976,Vaitarna,"Nashik, Igatpuri",Earthfill,37.8,2548,930,353750.00,37130,331110.00,Irrigation,1420
98,Adhala,1976,Adhala,Akola,Earthfill,40,623,1437,30000.00,2306,27600.00,Irrigation,1582
99,Tiru,1976,Tiru,Osmanabad,Earthfill,21,1851,311,23320.00,690,15401.00,Irrigation,1985
100,Kamthikhairy (Pench),1976,Pench,Nagpur,Earthfill,32,1876,4928,230000.00,23653,180000.00,Irrigation  Water Supply,12000
101,Jayakwadi,1976,Godavari,"Aurangabad, Paithan",Earthfill,41.3,10415,13410,2909000.00,39800,2170000.00,Irrigation  Hydroelectricity,18153
